#{"t_start": 1769102440.7466047, "env_id": "None"}
r,l,t
3.2,500,1.175811
16.24,66,1.232861
21.19,271,1.424509
16.82,88,1.487065
16.79,61,1.54111
17.12,68,1.57914
17.25,65,1.612686
3.5,500,1.951986
17.27,53,1.996521
-11.11,101,2.071582
18.38,172,2.188175
16.62,68,2.249728
7.9,500,8.752193
8.1,500,9.064916
17.2,70,9.11445
17.92,48,9.139972
18.33,37,9.171495
18.28,62,9.224538
18.56,44,9.24806
17.87,43,9.270077
18.41,69,9.326136
17.65,45,9.357169
16.96,84,9.41625
18.13,47,9.456788
17.67,73,9.514828
18.41,79,9.579383
8.6,500,13.98942
18.4,60,14.033952
18.31,59,14.08599
17.82,38,14.111009
17.35,55,14.144541
20.95,195,14.307171
18.03,37,14.333186
11.4,500,16.364725
9.2,500,16.734122
17.79,51,16.776158
17.67,63,16.8277
18.54,46,16.861223
10.8,500,21.185926
17.6,500,21.556289
17.98,42,21.586289
17.75,45,21.626289
17.96,54,21.660798
17.01,59,21.7188
19.3,40,21.750307
18.48,42,21.786307
16.0,500,23.511497
19.08,42,23.538532
17.55,55,23.583067
15.5,500,28.11598
18.12,48,28.159516
18.0,50,28.208054
21.52,168,28.33216
18.1,50,28.377702
17.57,63,28.433748
18.14,66,28.489817
18.92,48,28.524881
18.07,43,28.563412
18.87,43,28.598938
16.84,56,28.648992
18.23,47,28.685035
19.9,90,28.7411
18.18,62,28.796147
19.06,44,28.830672
18.31,59,28.882216
17.1,500,29.270639
18.0,40,29.309672
17.8,70,29.357716
17.89,41,29.385238
18.72,48,29.422263
17.7,500,35.550993
30.42,298,35.789232
34.05,455,36.160041
18.91,49,36.190565
19.15,35,36.219087
20.37,73,36.274137
18.81,39,36.309663
18.53,37,36.348699
18.62,48,36.380254
18.41,39,36.401296
28.23,277,36.60356
18.2,500,36.997992
18.74,46,37.026517
19.13,37,37.06004
35.9,460,42.498575
29.63,297,42.719769
18.41,39,42.743291
19.66,44,42.768815
20.19,51,42.818358
18.64,36,42.852391
19.78,52,42.879915
17.68,42,42.910439
19.82,68,42.957487
18.71,39,42.990011
18.75,45,43.032546
19.53,37,43.06859
19.27,53,43.102618
18.5,40,43.135148
18.22,38,43.169181
18.5,50,43.209215
19.26,44,43.249752
18.82,58,43.299297
18.4,40,43.322817
18.77,33,43.350343
18.43,37,43.376872
18.86,34,43.409397
19.07,43,43.433918
18.55,35,43.460441
18.96,34,43.480458
18.83,37,43.507987
27.76,264,43.704166
19.4,50,47.958224
29.99,241,48.175421
19.45,35,48.194438
17.92,38,48.221961
18.83,37,48.243982
19.04,36,48.268506
18.53,37,48.302533
19.01,39,48.341066
18.67,53,48.3736
26.2,500,50.31534
19.35,45,50.343875
20.16,54,50.379949
19.14,46,50.40651
19.75,35,50.432046
27.1,500,50.792366
19.11,49,50.830895
19.68,42,50.865443
19.75,35,50.896967
18.1,40,50.929492
18.76,34,50.947512
18.58,42,50.983046
18.47,33,51.012064
19.06,34,51.042092
21.76,74,55.232131
25.59,151,55.36575
20.86,64,55.402777
19.66,34,55.422291
19.5,60,55.480342
18.63,47,55.523884
18.74,36,55.557415
17.94,36,55.590448
26.42,158,55.717294
20.89,51,55.746857
18.05,35,55.779387
19.47,53,55.82693
18.15,35,55.861961
19.62,48,55.906506
18.51,49,55.93603
19.28,42,55.967077
28.64,176,56.777803
34.59,281,56.977976
19.59,41,57.01704
19.6,50,57.053093
20.73,77,57.116654
19.81,39,57.14067
18.97,33,57.174209
19.74,46,57.216243
19.04,46,57.242262
18.94,46,57.287313
19.66,34,57.316836
21.99,81,57.378397
18.61,49,57.42694
20.79,61,57.475988
19.99,61,61.987434
18.33,37,62.023467
30.53,227,62.203629
20.37,33,62.223644
18.87,33,62.24366
19.59,41,62.276191
18.82,38,62.312222
19.27,43,62.346753
19.23,37,62.384792
19.06,44,62.422318
19.31,39,62.444843
19.46,34,62.46486
19.93,57,62.513413
20.26,44,62.540472
19.39,41,62.566997
19.13,37,62.590516
19.27,33,62.617043
19.58,42,62.656076
18.82,38,62.69211
18.88,42,62.733652
19.61,39,62.768175
19.66,34,62.795203
28.07,223,62.989889
19.65,35,63.010906
21.43,57,63.048737
19.04,46,63.084292
19.31,39,63.116817
19.06,34,63.152847
19.78,52,63.19439
19.06,34,63.223912
19.3,50,63.509658
19.24,36,63.540187
18.94,36,63.560203
18.77,43,63.597238
19.22,38,63.628763
31.33,267,63.866012
19.54,36,68.080102
20.7,60,68.136153
18.94,36,68.166678
20.16,34,68.192699
19.82,38,68.226228
19.41,39,68.260752
19.3,50,68.28778
19.21,49,68.338326
19.75,35,68.364856
20.23,37,68.386377
20.15,35,68.426414
19.26,64,68.485971
20.52,68,68.552535
19.15,35,68.57455
19.18,42,68.60658
19.11,39,68.645613
19.31,39,68.677135
19.16,34,68.697658
19.73,57,68.73769
19.24,36,68.770215
19.63,47,68.804754
19.85,35,68.822764
19.56,34,68.855295
18.96,34,68.888329
19.17,53,68.929367
19.75,35,68.950385
28.27,173,69.110535
19.09,41,69.139075
21.6,80,69.208141
19.5,40,69.239665
19.75,55,69.287707
18.91,39,69.318234
19.43,47,69.347762
18.97,43,69.373286
19.65,35,69.408329
18.95,35,69.432385
19.71,59,69.478457
19.46,44,69.524002
19.04,36,69.553531
19.23,37,69.587564
20.33,47,69.630601
19.73,57,69.667635
18.82,38,69.704173
19.35,35,69.981309
20.56,54,74.260062
19.02,38,74.2976
19.36,34,74.319615
19.56,34,74.351138
19.61,49,74.396182
19.96,34,74.421199
19.44,36,74.443721
18.96,34,74.474247
19.29,41,74.511271
18.85,35,74.539794
20.77,43,74.580827
18.65,35,74.605858
20.74,56,74.6574
18.96,34,74.690479
19.99,41,74.730509
20.33,37,74.765544
19.5,40,74.796067
19.0,40,74.835101
21.13,67,74.89515
22.59,91,74.986734
19.35,35,75.024777
19.71,39,75.062805
19.85,35,75.09734
19.27,43,75.140373
20.33,37,75.180412
19.13,37,75.21995
19.1,40,75.252983
20.03,37,75.295526
19.47,33,75.320544
19.55,35,75.351072
20.1,40,75.377599
19.54,36,75.406629
19.43,47,75.444661
19.54,36,75.474185
21.52,68,75.53974
19.67,43,75.580775
20.12,48,75.618311
19.72,48,75.667855
20.73,47,75.7129
18.83,47,75.754939
18.96,34,75.78346
19.75,35,75.807981
20.15,35,75.834506
19.54,36,75.868031
19.36,44,75.900057
19.0,40,75.929585
19.15,35,75.95711
23.5,90,76.032677
26.97,133,80.522321
20.97,33,80.55385
19.65,35,80.580869
19.51,39,80.62191
19.85,35,80.652436
19.27,43,80.679457
19.13,47,80.725498
20.07,33,80.75202
19.78,42,81.051011
21.9,50,81.079533
19.93,57,81.12657
19.42,48,81.175117
20.49,41,81.19964
19.06,34,81.218654
21.88,72,81.271194
19.74,36,81.299218
20.18,42,81.32374
19.55,35,81.354269
19.96,34,81.388793
19.34,36,81.420824
20.98,52,81.460893
20.06,44,81.507439
19.17,33,81.538967
20.05,45,81.576494
20.16,34,81.606002
21.55,65,81.650001
19.86,34,81.674002
20.13,37,81.698511
20.09,41,81.739511
20.0,40,81.782514
19.33,37,81.822021
19.83,37,81.84902
20.42,48,81.896529
19.67,53,81.945529
19.24,36,81.968529
19.54,46,81.996042
18.88,42,82.029041
19.67,33,82.061042
20.41,49,82.104552
19.69,51,82.141551
20.86,44,82.187555
19.86,34,82.220061
20.58,52,82.270261
20.05,35,82.301784
19.53,47,82.343817
20.6,40,82.379848
18.96,34,86.72536
26.12,118,86.832453
18.91,39,86.868482
20.49,51,86.917026
20.61,49,86.957472
19.95,45,86.997505
20.46,34,87.030536
22.53,67,87.0981
21.03,37,87.121624
19.36,34,87.143642
19.33,37,87.174673
20.85,45,87.215703
20.19,41,87.245226
21.41,79,87.320792
20.19,41,87.346816
21.45,45,87.383354
20.27,53,87.434896
20.75,35,87.460927
23.46,84,87.798454
20.72,38,87.837491
20.6,40,87.87803
21.11,39,87.916066
19.46,34,87.950098
19.06,34,87.988137
19.96,34,88.021175
22.28,72,88.084737
20.81,59,88.139282
19.26,34,88.171821
20.25,35,88.20435
19.87,43,88.249889
19.96,34,88.277425
19.83,47,88.319963
19.87,33,88.339981
21.26,44,88.373015
20.35,45,88.417042
20.27,33,88.441567
20.97,53,88.481103
20.55,35,88.513631
19.35,35,88.550662
20.16,34,88.577186
20.87,63,88.631236
20.36,34,88.661766
20.05,35,88.690289
19.02,38,88.713816
19.66,34,88.748341
20.85,45,88.79439
19.87,33,92.923213
19.85,35,92.951738
19.95,35,92.973759
18.94,36,93.001283
20.31,39,93.04332
20.07,33,93.068342
21.07,33,93.092868
18.96,34,93.127394
19.46,34,93.161431
19.64,36,93.184485
18.96,34,93.215025
19.45,35,93.247547
19.41,39,93.28608
19.94,36,93.310623
