#{"t_start": 1768629503.048313, "env_id": "None"}
r,l,t
-155.0,500,4.20715
-155.0,500,4.552269
-30.0,500,-95.841875,500,8.088492
-50.893563,500,9.690516
-140.25,500,15.390351
-20.807533,486,21.280232
-139.4,500,23.101532
-97.098286,500,29.961234
-21.585342,226,36.102557
-58.318376,500,38.331971
24.105806,479,44.214368
-63.127062,500,45.883446
0.679114,138,46.465142
-1.216878,65,47.001256
-126.25,500,60.580907
8.4,6,60.782534
-42.729027,500,62.642943
-130.25,500,64.511123
-96.957378,500,72.174749
-118.05,500,79.827734
12.881293,22,80.010896
-123.25,500,86.653186
-37.517301,500,88.544793
-63.482515,500,90.55168
-123.25,500,104.762954
9.15,6,104.952639
10.070304,6,105.134981
-7.586746,500,107.787506
-122.25,500,114.988847
-79.572515,500,117.255143
-96.25,500,126.206247
-130.65,500,133.773908
-144.25,500,135.567623
27.368344,73,136.113814
14.587981,125,136.752484
-146.7,500,144.521559
-119.25,500,156.383846
-130.15,500,164.273327
19.251742,57,164.592576
-98.8,500,167.18614
-133.5,500,169.413492
-127.55,500,186.5022
-75.85,500,188.769807
-48.019179,500,196.821195
-103.65,500,199.905813
-51.263943,500,210.803862
-110.0,500,219.169488
-6.625732,500,221.496108
-120.15,500,229.936918
26.021231,59,230.530447
-71.75,500,241.367843
-153.55,500,244.684705
-115.95,500,253.322561
44.251909,135,254.123524
-102.25,500,256.43245
-127.85,500,274.427358
53.265145,500,276.554138
-93.508528,500,286.121557
-18.407073,410,288.007668
-74.1,500,299.282923
-92.938269,500,308.911592
-16.701345,381,310.991657
-81.351493,500,313.482596
-98.45,500,330.455979
-104.473083,500,332.852075
-95.1,500,340.996129
-40.721615,500,343.270837
16.976434,28,343.531304
9.15,6,343.74672
-102.0,500,355.32074
-37.009589,500,364.527853
22.918619,60,364.880453
-104.05,500,367.419497
-48.100189,500,375.563707
8.95,6,375.787233
12.779636,74,376.361359
-76.425344,500,388.087548
-8.862126,385,389.712075
-117.25,500,398.553883
-84.65,500,400.845281
-12.352816,500,408.817502
22.690395,66,417.541683
-28.923501,500,419.808826
-138.1,500,428.147541
-122.6,500,430.335931
-88.05,500,432.447393
10.360585,108,442.075516
-97.65,500,449.924587
31.840038,33,450.354315
-59.874268,500,452.512697
15.293061,201,453.687543
-78.2,500,461.824161
-39.909269,500,472.505465
-80.85,500,480.539572
-78.274543,500,482.776654
-103.85,500,485.281705
-33.683325,500,502.328741
-140.25,500,504.559716
-76.1,500,512.975165
-45.964876,500,515.441181
-104.65,500,526.85767
-28.571901,500,535.445015
9.65,6,535.669487
-46.041729,500,537.890394
-52.45,500,546.32052
-95.3,500,558.83299
-17.269408,500,561.143511
-52.85,500,569.849697
-113.8,500,572.035053
-116.05,500,590.249556
15.00729,9,590.49164
-63.0,500,593.506822
15.634978,74,593.921858
-88.1,500,595.898703
-48.9,500,604.213166
44.156776,112,605.104141
-45.172329,500,616.325608
-104.8,500,624.808733
12.176874,32,625.113831
-93.9,500,627.673374
-1.683267,260,628.573993
-51.05986,500,637.099159
9.15,6,637.354036
8.248828,6,637.766566
6.566684,125,647.999545
-43.72047,500,650.463329
-62.05,500,658.635179
-52.15,500,660.689693
-74.55,500,678.475112
9.15,6,679.040807
-97.45,500,681.433439
-42.057331,500,683.679513
-44.644039,500,692.91661
-78.639265,500,705.150718
15.95509,137,706.367495
-17.471184,500,714.911695
-66.7,500,717.486179
-98.55,500,719.644147
-102.453729,500,738.360606
-47.2,500,740.894021
-106.5,500,749.138767
-84.95,500,751.981392
-61.35,500,764.365469
-12.755129,339,771.949754
-28.772827,500,774.02437
-48.842448,500,782.717449
-50.874108,500,785.586452
-62.321242,500,797.28074
14.953182,22,797.573185
-59.2,500,806.807518
-97.3,500,808.955165
-51.119142,500,817.771413
-35.546447,500,829.505738
-92.75,500,831.777494
-56.789852,500,839.93984
17.743973,61,840.549797
-44.067431,500,843.072006
-55.9,500,862.360765
-56.8,500,864.969117
-57.9,500,867.549001
-106.15,500,876.650393
-72.206643,500,888.74627
-91.6,500,897.266419
-82.75,500,899.579582
-128.2,500,901.8624
-92.0,500,918.795115
-82.1,500,920.995079
-53.9,500,929.147605
-46.114618,500,931.493402
23.36203,40,931.810738
-74.0,500,943.146195
-74.714773,500,951.609732
-9.840148,500,953.919538
-85.85,500,962.714971
-92.85,500,974.898067
-55.25,500,977.043716
-77.775458,500,985.771226
-96.3,500,988.262831
-55.25,500,1006.123745
-28.516487,500,1008.689731
-79.9,500,1011.086523
-56.3,500,1019.78577
-18.130606,319,1020.807307
-66.9,500,1032.605043
-52.11302,500,1041.165232
-84.7,500,1043.679919
23.253735,44,1044.419136
9.4,6,1044.899719
-51.75,500,1053.627905
-48.9,500,1066.643173
-85.9,500,1069.174654
17.228551,102,1076.454023
-39.764964,500,1078.775055
-51.75,500,1080.994792
9.4,6,1081.259588
-85.75,500,1100.278659
-77.88633,500,1102.581357
-15.231465,500,1111.675797
-87.941282,500,1114.257185
-20.904308,500,1127.004851
-7.151444,500,1136.488917
-63.4,500,1138.974159
14.328464,89,1139.646876
-86.95,500,1148.426575
9.15,6,1148.66399
-53.95,500,1160.720531
20.190408,35,1161.265582
-59.83777,500,1163.694777
4.81563,71,1170.671977
-55.275173,500,1173.129529
-67.7,500,1185.131727
-76.65,500,1194.435008
11.366084,83,1194.867364
-41.211014,500,1197.480647
9.4,6,1197.719865
13.969396,11,1197.978675
-44.74029,500,1207.085599
-81.9,500,1218.680268
-62.3,500,1221.336724
-68.15,500,1230.011417
-65.274218,500,1232.727981
-6.618256,431,1241.373379
6.912017,500,1253.415866
-43.807038,500,1255.731374
18.536401,479,1264.306686
-2.102567,500,1266.737953
-61.097078,500,1284.309922
-71.65,500,1286.872825
-84.45,500,1289.04791
-51.246079,500,1297.602936
-57.318222,500,1309.291112
0.723224,76,1310.127556
-85.8,500,1318.2663
-125.6,500,1320.250554
-101.25,500,1322.543898
-77.700999,500,1340.266185
12.201632,9,1340.511595
-74.55,500,1342.611938
-44.581182,500,1350.688128
18.265652,28,1351.196115
-42.607038,500,1353.873637
-61.2,500,1365.487506
-104.0,500,1374.477609
-75.6,500,1376.74853
-91.65,500,1386.104169
-108.15,500,1398.22115
-87.3,500,1400.572808
-65.0,500,1409.375338
-48.003543,500,1412.369872
-29.923157,500,1431.118774
-78.45,500,1433.313417
-62.577344,500,1435.696586
-74.65,500,1444.261329
-50.675415,500,1455.999684
12.229035,70,1456.613855
31.25187,48,1456.941633
-58.3,500,1465.452512
-131.05,500,1467.580596
-75.05,500,1476.086449
-35.079795,500,1488.349972
12.055673,160,1489.205705
-42.65,500,1491.458858
-2.310691,500,1500.13954
-47.15,500,1502.718713
2.964741,500,1520.573628
39.048616,224,1522.443706
-39.675608,500,1524.953417
-67.7,500,1533.490995
-29.428585,500,1545.454729
-97.65,500,1547.533273
-41.90284,500,1555.880324
-47.858744,500,1558.125422
-46.293876,500,1575.65952
46.193245,340,1576.840838
-99.65,500,1579.206405
-48.15,500,1587.780551
-92.145616,500,1589.895723
-75.35,500,1608.568686
-55.811245,500,1611.044808
-37.634179,500,1613.363876
-104.8,500,1621.703773
26.668249,479,1633.747272
-134.6,500,1635.842639
-44.862426,500,1644.442498
-57.886966,500,1646.81281
-83.2,500,1665.019487
-17.00401,500,1667.831156
30.571787,59,1668.206656
-97.6,500,1676.664545
-49.766215,500,1678.753167
-15.2,500,1690.661222
-71.036147,500,1698.937272
-92.551129,500,1701.426161
-75.8,500,1710.074987
