#{"t_start": 1768807640.9609017, "env_id": "None"}
r,l,t
29.20636,31,1.689423
20.867215,95,2.219423
28.132633,60,2.765423
15.3,33,2.977923
19.430726,266,4.568423
26.599174,6,4.757923
27.909102,56,5.690427
15.79565,24,5.898427
30.072315,301,7.441427
25.747023,39,7.664428
32.611196,238,9.059427
29.199843,203,10.683975
27.811364,27,11.048475
35.748867,109,12.385475
18.823451,31,12.760017
22.821721,69,13.027518
31.321748,24,13.235017
24.480262,23,13.942868
41.27916,478,21.192868
25.574598,19,21.409369
26.774123,6,21.578869
22.867909,13,21.921368
40.493663,57,23.00237
27.060529,31,23.668869
20.099771,6,23.820369
18.46756,6,24.177368
29.969935,76,24.753927
26.593679,30,25.334927
58.501025,173,27.684927
34.927569,44,28.545426
127.120501,500,34.526475
32.096871,47,35.303973
36.764273,65,35.906474
33.542217,66,37.520474
35.941534,51,38.210974
32.911003,32,38.891474
29.81188,25,39.254474
27.058298,43,40.153975
49.250936,372,43.670974
23.592372,33,43.882474
21.283273,6,44.031976
26.186236,51,44.937474
33.354914,42,45.362974
39.549774,19,45.713474
30.17655,34,45.909974
32.163994,90,47.538019
33.495343,114,53.938561
17.031531,6,54.115065
18.873236,42,54.671561
21.153027,16,55.192565
20.881031,12,55.539561
125.644097,205,57.462561
29.148297,34,57.834064
20.094119,13,58.005062
19.002832,31,58.375062
19.980985,28,58.912069
21.091733,103,59.646569
19.827326,8,59.824069
29.575066,17,60.165069
30.658943,18,60.829069
49.789163,198,64.208069
15.748172,12,64.688069
162.953504,500,68.453573
22.629241,23,68.647072
22.825222,31,69.029572
17.515054,14,69.222572
19.886709,17,69.558072
11.905027,9,69.739572
16.754528,11,69.910573
24.357239,24,70.450072
10.160281,6,70.622072
84.870996,120,72.892112
19.195966,12,73.246613
20.154843,22,73.904111
17.991731,13,74.255111
14.554698,24,74.754614
24.275099,34,75.413111
11.418772,6,75.577113
130.949961,407,84.585657
33.84939,60,86.17166
23.597525,19,91.584602
26.011633,20,91.935601
20.51216,16,92.302601
13.62843,8,92.486601
51.284385,56,93.479101
30.968325,13,93.8176
21.469767,17,94.189601
26.362842,75,95.523642
24.367866,13,95.874643
12.563268,7,96.060143
35.291652,39,96.827642
23.143151,18,97.229643
39.99349,107,98.255143
25.545958,18,98.454142
28.862536,16,98.829143
24.767876,38,99.451142
33.932955,33,100.178142
58.75558,63,101.229142
53.686526,139,102.752642
12.565559,15,102.935642
11.960461,6,103.105642
29.022398,14,103.285642
31.020832,16,103.468642
38.677417,57,103.763642
12.78632,6,103.933142
18.468273,19,104.412142
23.668047,11,104.899642
36.283281,20,105.266142
42.066702,34,105.646142
21.190308,26,106.014642
19.006601,21,106.667142
28.520991,26,107.013142
19.322863,28,107.206142
20.125233,19,107.713642
15.236533,33,107.923144
30.335042,23,108.119142
36.632568,67,108.517142
22.40583,19,109.066642
21.039266,8,109.418142
24.007629,24,109.917142
26.042169,31,110.463142
22.650116,11,110.795142
46.797051,51,111.828177
28.631156,12,112.000179
26.924833,23,112.369678
44.304505,42,113.083217
22.581831,16,113.536215
26.231948,35,114.222215
13.333592,6,114.532715
25.097184,23,114.724215
19.107982,6,114.903215
39.043504,16,115.617752
19.481889,10,115.925252
36.316812,23,116.644252
30.235231,53,118.026253
17.775535,8,118.210752
18.337434,14,118.690758
24.867123,23,119.22126
21.127165,16,119.704258
25.083795,10,120.029258
19.252008,16,120.379259
33.786893,65,120.941259
20.505138,12,121.572258
29.902508,15,122.230258
25.392079,229,129.444762
18.2163,11,129.766803
33.82143,15,130.243303
24.867857,21,130.753803
28.95389,18,131.266803
22.502331,21,131.617303
173.225221,157,134.661839
118.170661,124,136.718839
14.527598,6,136.90134
30.40313,17,137.105839
24.112451,10,137.28834
24.679825,12,137.46884
124.414963,124,139.23334
45.757877,41,140.334839
16.154735,6,140.48584
21.253044,8,140.66484
36.610271,27,141.21384
35.844195,23,141.41184
37.355358,21,141.94134
18.448142,6,142.10984
21.135694,35,142.33884
57.233919,73,144.881385
19.227342,6,145.202385
29.21014,13,145.554386
22.73959,9,145.733886
26.194157,24,146.229386
18.008306,6,146.550885
19.731854,9,147.261885
49.018559,31,147.604386
47.931941,32,148.459385
27.660499,22,148.825385
22.526557,22,149.494385
28.802344,12,149.671385
15.130151,6,150.159885
21.71586,15,150.809385
27.523162,29,151.678387
29.218657,37,152.660885
25.794159,16,153.002385
24.822713,12,153.716385
51.85504,45,154.394425
35.037386,18,154.751422
15.452319,6,154.920422
48.609916,28,155.142422
39.742739,17,155.497922
16.634008,6,155.802422
26.916008,22,156.001422
17.704221,15,156.200923
27.801775,16,156.392422
20.449351,6,156.566422
55.475521,47,157.127922
21.966752,14,157.304425
26.956172,12,157.646421
54.124046,45,158.368922
23.047214,10,158.550422
34.480055,15,158.898422
53.433973,57,160.809424
23.733251,19,161.315922
49.635556,48,162.176422
